Expiry,Type,Strike,Bid,Ask,IV,Delta,Gamma,Vega,Theta
20250815,C,524.0,,,,,,,
20250815,P,524.0,,,,,,,
20250815,C,525.0,77.45,77.92,0.24577130958482118,0.8749912788393821,0.0028990893691755912,0.6635696714339758,-0.13751761951344216
20250815,P,525.0,4.52,4.55,0.2470447218660364,-0.12833912310256598,0.0029628174028624014,0.6671861262760084,-0.07706913050473707
20250815,C,526.0,,,,,,,
20250815,P,526.0,,,,,,,
20250815,C,528.0,,,,,,,
20250815,C,527.0,,,,,,,
20250815,P,527.0,,,,,,,
20250815,P,528.0,,,,,,,
20250815,C,529.0,,,,,,,
20250815,P,529.0,,,,,,,
20250815,C,530.0,72.95,73.42,0.24091925374247558,0.8613875766537903,0.003162812135319487,0.6690549907479095,-0.14113811327860387
20250815,P,530.0,4.96,5.0,0.23723653858005922,-0.1375147870375284,0.0032291498001838343,0.6711119406826818,-0.07682266683591488
20250815,C,531.0,,,,,,,
20250815,P,531.0,,,,,,,
20250815,C,532.0,,,,,,,
20250815,P,532.0,,,,,,,
20250815,C,533.0,,,,,,,
20250815,P,533.0,,,,,,,
20250815,C,534.0,,,,,,,
20250815,P,534.0,,,,,,,
20250815,C,535.0,68.5,68.94,0.2323594696895702,0.8506765963803262,0.003447191034735211,0.6730468561248983,-0.14215276895203918
20250815,P,535.0,5.46,5.49,0.23137645643242652,-0.1510587628133177,0.003528523913587548,0.6783927648668007,-0.07923104312063209
20250815,C,536.0,,,,,,,
20250815,C,537.0,,,,,,,
20250815,P,536.0,,,,,,,
20250815,P,537.0,,,,,,,
20250815,P,538.0,,,,,,,
20250815,C,538.0,,,,,,,
20250815,C,539.0,,,,,,,
20250815,P,539.0,,,,,,,
20250815,C,540.0,64.09,64.52,0.2277473655478043,0.8357922508166936,0.003755357455830525,0.7151862693219115,-0.14578115988957352
20250815,P,540.0,6.0,6.03,0.2271714681405919,-0.16682255449474606,0.0038525728875541286,0.7242825885262123,-0.08279270713344794
20250815,C,541.0,63.21,63.65,0.22971040677851176,0.8302627792316344,0.0038108975953085665,0.7968559709874867,-0.14849530423865556
20250815,P,541.0,6.12,6.14,0.22571844101811867,-0.16952880902813483,0.003922306140936909,0.7613035018887571,-0.08307777654347127
20250815,C,542.0,62.34,62.8,0.22832557073982626,0.8271660377622401,0.0038746399100929754,0.8013835191824228,-0.1488141061937611
20250815,P,542.0,6.23,6.26,0.2242870257256764,-0.17232748973127787,0.003993484251488332,0.7958445277674553,-0.08337325987786988
20250815,C,543.0,61.47,61.93,0.22723407306924662,0.8237055538331579,0.003938142305915135,0.8027750199484203,-0.1493181638886628
20250815,P,543.0,6.35,6.38,0.22315656473289408,-0.17577190788979694,0.004062416718045239,0.8048513747412747,-0.08378877991432576
20250815,C,544.0,60.6,61.05,0.22577202343826713,0.820580136870629,0.004004449394356909,0.8039904680016505,-0.14957087763596133
20250815,P,544.0,6.47,6.5,0.22787224836451556,-0.1851041625758131,0.004100447208613253,0.8097193302089236,-0.08814521551682307
20250815,P,545.0,6.6,6.63,0.22019695683809515,-0.18222483061472403,0.0042062713976455815,0.8077459804628635,-0.08408877995594646
20250815,C,545.0,59.74,60.16,0.22394122710694428,0.817781636466381,0.004074025250247862,0.8050312366263839,-0.14957233392669356
20250815,C,546.0,58.88,59.31,0.21876775299774978,0.818265127096005,0.004163649061687275,0.8043228718060007,-0.1473272820362995
20250815,C,547.0,58.01,58.45,0.22167110827318462,0.8107217943306859,0.004209790705755738,0.8078698909919737,-0.1504973644628111
20250815,P,546.0,6.73,6.76,0.21957426249946194,-0.18637100983812604,0.004275491941793364,0.8097898741757188,-0.08481942305158881
20250815,P,547.0,6.85,6.89,0.21834080058293615,-0.18994094236467438,0.004349558246814296,0.8116820969109293,-0.08513427216314692
20250815,P,548.0,6.99,7.02,0.22293101354437025,-0.19913443449269963,0.004383229073712282,0.8170436426663068,-0.08943827770264323
20250815,C,548.0,57.15,57.58,0.2207299506315126,0.8069605264729462,0.004278097712101701,0.8094090038938759,-0.15108568796684801
20250815,C,549.0,56.3,56.71,0.21867960635174558,0.8042219282663928,0.004355242390079572,0.8104025014095129,-0.1509221110289779
20250815,P,549.0,7.12,7.15,0.2162844725714774,-0.19760479197293918,0.004499145372433589,0.8158129225287309,-0.08604291961955367
20250815,C,550.0,55.44,55.84,0.21762253984072372,0.8005019065091563,0.004426972038899253,0.811915549864473,-0.15142489947852789
20250815,P,550.0,7.26,7.29,0.2133881059980443,-0.19968229869941195,0.004591026203415126,0.8166165499273816,-0.08521439005842878
20250815,C,551.0,54.59,55.01,0.2173147837751961,0.7960552463637671,0.004493781889971862,0.813817077333475,-0.15243234151133564
20250815,P,551.0,7.4,7.43,0.21436088927197564,-0.2055564030337718,0.004653112572377501,0.8201437325924719,-0.08704381434320319
20250815,P,552.0,7.54,7.57,0.21314446231706796,-0.20935179826563172,0.004734542198146956,0.8229465863746208,-0.08737030320690312
20250815,C,552.0,53.74,54.11,0.21352356752077112,0.7948135096231258,0.004590936866838209,0.813988923881638,-0.15107443301340148
20250815,C,553.0,52.89,53.31,0.21485856013647592,0.7887838826696284,0.004645428119542267,0.8167478481772221,-0.1531910326078733
20250815,C,554.0,52.05,52.46,0.21382312210238796,0.7849222292386735,0.0047214686322280385,0.818332914941216,-0.1536961879992909
20250815,P,553.0,7.69,7.72,0.21212840857811194,-0.21338716989475656,0.0048157723398688625,0.8257321895061303,-0.08783600077092067
